d,a,e
5.129999999999997229e+00,5.000000000000000000e+01,-4.371689913653408155e+01
5.129999999999997229e+00,5.500000000000000000e+01,-4.371689917668653180e+01
5.129999999999997229e+00,6.000000000000000000e+01,-4.371689922474017465e+01
5.129999999999997229e+00,6.500000000000000000e+01,-4.371689928953634308e+01
5.129999999999997229e+00,7.000000000000000000e+01,-4.371689939465990449e+01
5.129999999999997229e+00,7.500000000000000000e+01,-4.371689958900493167e+01
5.129999999999997229e+00,8.000000000000000000e+01,-4.371689995514805105e+01
5.129999999999997229e+00,8.500000000000000000e+01,-4.371690060211906115e+01
5.129999999999997229e+00,9.000000000000000000e+01,-4.371690161691699927e+01
5.129999999999997229e+00,9.500000000000000000e+01,-4.371690294105779628e+01
5.129999999999997229e+00,1.000000000000000000e+02,-4.371690414316556428e+01
5.129999999999997229e+00,1.050000000000000000e+02,-4.371690404517431006e+01
5.129999999999997229e+00,1.100000000000000000e+02,-4.371689997476324407e+01
5.129999999999997229e+00,1.150000000000000000e+02,-4.371688576724116615e+01
5.129999999999997229e+00,1.200000000000000000e+02,-4.371684629937091415e+01
5.129999999999997229e+00,1.250000000000000000e+02,-4.371674435428325012e+01
5.139999999999997016e+00,0.000000000000000000e+00,-4.371690246928986312e+01
5.139999999999997016e+00,5.000000000000000000e+00,-4.371690246894290510e+01
5.139999999999997016e+00,1.000000000000000000e+01,-4.371690246815175840e+01
5.139999999999997016e+00,1.500000000000000000e+01,-4.371690246765259502e+01
5.139999999999997016e+00,2.000000000000000000e+01,-4.371690246858548790e+01
5.139999999999997016e+00,2.500000000000000000e+01,-4.371690247238476701e+01
5.139999999999997016e+00,3.000000000000000000e+01,-4.371690248057351624e+01
5.139999999999997016e+00,3.500000000000000000e+01,-4.371690249451366128e+01
5.139999999999997016e+00,4.000000000000000000e+01,-4.371690251508491798e+01
5.139999999999997016e+00,4.500000000000000000e+01,-4.371690254245784502e+01
5.139999999999997016e+00,5.000000000000000000e+01,-4.371690257612003450e+01
5.139999999999997016e+00,5.500000000000000000e+01,-4.371690261559583490e+01
5.139999999999997016e+00,6.000000000000000000e+01,-4.371690266258864455e+01
